Sno,Name,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
77,Veritaas,93,12.64,25,1.74,65.59,7.33,0,10.35,3.05,0.01,3.06,0.42,2.64,0.26,2.38,0.68
78,Sanathnagar_Ent.,37.05,2.3,72.61,-1.95,65.46,-6.19,0,3.81,2.88,0.38,3.26,0,3.26,0,3.26,0.32
79,Cochin_Malabar,184.15,0,,0.54,65.15,3,0,0,-0.11,1.14,1.03,0.03,1,0.5,0.5,0
80,Sahasra_Electro.,492.65,101.15,35.5,32.63,65.05,17.25,,101.15,35.91,1.64,37.55,2.03,35.52,1.32,34.2,1.57
81,NINtec_Systems,447.6,78.17,30.56,18.92,64.39,10.19,0,64.74,18.14,1.65,18.89,1.1,17.79,0.03,18.66,4.59
82,TCS,4073.15,252082,26.81,48763,64.28,134.78,0,240893,64296,3464,68700,4985,63715,778,61997,15898
83,Basilic_Fly_Stud,292.55,84.58,45.25,27.59,64.05,11.87,0,100.3,48.8,2.88,51.68,1.01,50.67,0.49,50.18,13.98
84,My_Mudra_Fin.,67.1,71.14,18.09,8.36,63.68,7084.75,,71.14,12.87,0,12.87,0.58,12.29,1.1,11.19,2.84
85,Coal_India,385.3,140327.66,33.22,34350.02,63.59,55.88,0,142323.98,47971.49,8395.91,56348.55,6735.42,49613.13,819.37,48812.61,11443.48
86,Z-Tech,614.5,67.32,16.65,7.8,63.59,8.29,0,67.32,11.21,0.05,11.26,0.64,10.62,0.11,10.51,2.71
87,BNR_Udyog,62.79,2.71,26.57,0.73,63.55,2.43,0,7.24,5.17,0,5.17,0.08,5.09,0,5.09,0.78
88,Promact_Impex,12.79,1.56,83.33,0.73,63.04,1.12,0,1.77,1.51,0.01,1.52,0.07,1.45,0.53,0.92,0.03
89,Kiduja_India,38.23,49.29,96.17,34.39,62.45,17.55,0,45.03,43.55,-0.06,43.55,0,43.55,9.55,33.94,0
90,Jai_Balaji_Inds.,133.6,6659.47,15.49,869.56,62.33,10.29,0,6413.78,928.55,192.8,1143.12,85.62,1057.5,72.52,963.21,83.65
91,Everlon_Fin.,117.45,12.09,74.03,8.58,61.46,13.84,0,10.19,9.13,0.04,9.13,0.08,9.05,0.02,9.07,1.06
92,Wanbury,211.64,577.21,12.18,27.61,60.64,16.17,-0.01,557.06,72.94,25.61,75.66,13.03,62.63,29.18,56.34,0.38
93,Denta_Water,338.8,238.6,33.19,59.73,60.48,31.11,,238.6,79.19,3.24,82.43,0.49,81.94,0.56,81.38,21.66
94,Nephro_Care,199.45,31.82,18.1,2.95,60.41,1.97,-23.64,27.23,6.47,0.28,6.58,0.53,6.05,0.09,6.13,1.72
95,Slone,378.45,193.43,5.37,6.78,60.39,14.28,0.3,60.69,6.5,0.37,6.87,0.94,5.93,0.36,5.57,1.38
96,Gillette_India,8768.5,2747.35,24.83,452.02,58.91,138.72,0,2633.08,633.93,19.59,660.03,82.64,577.39,8.63,562.25,150.55
97,Dindigul_Farm,50,85.53,15.14,8.74,58.74,4.86,0,85.53,12.95,0.03,12.98,2.13,10.85,3.19,7.66,-1.08
98,E_Factor_Experie,234,145.45,14.31,14.88,58.4,11.37,0,148.56,22.35,0.68,23.03,1.05,21.98,1.24,20.74,5.37
99,Sumuka_Agro,210.55,59.72,10.63,4.24,58.15,5.01,0,54.95,7.06,-1.47,7.07,0.17,6.9,0.04,5.38,1.13
100,Global_Education,60.75,74.25,47.8,29.03,58.1,5.74,0,74.31,43.83,5.34,49.12,4.33,44.79,0.01,44.83,11.13
